141	2	174
1	2	6	10	89	1	A
2	3	6	29	85	1	A
3	1	8	23	77	3	A
4	3	9	27	91	3	D
5	2	14	14	86	4	B
6	2	18	16	76	3	C
7	1	22	19	88	1	A
8	2	25	10	76	1	A
9	2	28	21	80	5	B
10	2	28	20	82	1	C
11	2	30	10	92	3	C
12	1	31	15	76	3	B
13	3	36	18	70	2	B
14	2	39	13	73	5	B
15	3	41	17	89	3	D
16	2	43	28	97	4	C
17	1	45	19	94	3	C
18	2	46	25	89	2	D
19	3	51	10	94	3	B
20	2	54	27	99	5	C
21	2	56	24	95	3	C
22	2	56	21	75	5	A
23	2	61	16	99	4	A
24	2	63	12	76	1	C
25	2	64	10	71	1	B
26	2	67	21	96	1	C
27	2	68	20	88	4	A
28	1	72	10	71	4	C
29	3	74	18	98	5	C
30	2	77	20	85	4	C
-1
